"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.04746102596686,10.8588756198977,0.188551844374671,0.850509356764504
"w0",-0.0459892814565148,0.022815591328605,-2.01569535473121,0.0442877948021589
"sexMale",2.61830738211224,0.88478303257859,2.95926491094829,0.00320829999953188
"enrollage",-0.0501842911138215,0.0583203585605435,-0.860493528374387,0.389868965698585
"as.factor(med_group)Dulaglutide",0.877682473966808,4.55782335700071,0.192566145113699,0.847365476584405
"as.factor(med_group)Exenatide",-4.00792235430568,0.864984225167703,-4.63352074834501,4.43352151354612e-06
"as.factor(med_group)Lixisenatide",1.59856107045701,1.44984698530214,1.10257226221971,0.270665566651048
"hasDM",0.92834354573142,9.91045189212436,0.093673180177501,0.925400793613064
"PC1",-0.00672413495519189,0.0101042627573588,-0.665475068954912,0.506008524903246
"PC2",-0.0792458683619888,0.0372641586797401,-2.12659754492387,0.0338707621702485
"PC3",-0.111939799505594,0.0612083014089282,-1.82883362107588,0.0679326163423193
"PC4",-0.0528438116020805,0.0453246560607927,-1.16589547929945,0.244131011898354
"PC5",-0.000784470673108724,0.056538876039527,-0.0138748897760241,0.988934517238292
"PC6",0.329015105244988,0.21796348830242,1.50949641982462,0.131710945190336
"PC7",0.063114884017321,0.107348133380752,0.587945798679697,0.556795176780509
"PC8",-0.125741351089263,0.144730660791095,-0.868795529585524,0.385314657767312
"PC9",0.259726425676861,0.108663139122312,2.39019807245319,0.0171541596665264
"PC10",-0.112287070125994,0.111474891471744,-1.00728575415977,0.314213212013694
"PC11",-0.0811766714960616,0.156292070485578,-0.519390851012831,0.603684322287548
"PC12",0.152817669547817,0.215065680472305,0.710562788131579,0.477637900871825
"PC13",-0.253930883804766,0.213334438826626,-1.19029484972716,0.234412498773237
"PC14",0.0783428150040262,0.134070175176917,0.584341856051477,0.559215219223451
"PC15",-0.00331225626569085,0.202505155046587,-0.0163564046798159,0.986955626300972
"PC16",-0.17627735763705,0.148332699163791,-1.18839176143085,0.23516049159253
"PC17",-0.0163192065485264,0.155336334873683,-0.105057239581434,0.91636633821943
"PC18",-0.00113121995268108,0.141530847011828,-0.00799274487904775,0.993625500354161
"PC19",-0.031223840577761,0.135765305317236,-0.229983945491832,0.81818450185138
"PC20",-0.178496461946545,0.146704256104271,-1.21670949900511,0.224204573663117
