"Cluster","Signature","Mean","D"
1,0,0.0268177931423365,-0.171627402888149
1,1,0.0788151551663305,-0.103127935479615
1,2,0.0660510649156171,-0.111606692377601
1,3,0.140272032643216,-0.48537806512378
1,4,0.0118197272057494,-0.181376128490503
1,5,0.0428528923790777,-0.139048658712012
1,6,0.0101491138872056,-0.313750841436267
1,7,0.174855451646966,2.50802921330254
1,8,0.0860074676417786,-0.336741819664442
1,9,0.0299165346078244,-0.10057193203561
1,10,0.0248171929190128,-0.238743993760506
1,11,0.00797366547044024,-0.219648240318573
1,12,0.00814748484246072,-0.370524272428541
1,13,0.021868262965117,-0.360492835391735
1,14,0.0233467326088334,-0.092403746705811
1,15,0.0142765470920996,0.120325599647059
1,16,0.0785467844877757,-0.35030878677002
1,17,0.081422919130365,-0.347113654158411
1,18,0.0164916891332477,-0.173136980147124
1,19,0.049816640847663,-0.372658829737593
1,20,0.00573484714359009,-0.461784834355927
2,0,0.0276951219356237,0.056811611503993
2,1,0.0818154628927458,0.273402481367653
2,2,0.0682101518326628,0.173218391179095
2,3,0.150695028551766,0.719564621949506
2,4,0.012242614640362,0.386167154557128
2,5,0.0360011351567032,-1.15940514193561
2,6,0.0114489362164367,0.437136614619884
2,7,0.130196195488525,-1.75038666630824
2,8,0.0936638646019898,0.428297458101027
2,9,0.0308111581094841,0.203234569052317
2,10,0.0272966141469166,0.349501604179262
2,11,0.0083307423429828,0.257467778373358
2,12,0.00861027521997778,0.564144596973758
2,13,0.0234085974183896,0.570345474261655
2,14,0.023883962014843,0.124956776788211
2,15,0.0133700216082217,-0.336025895931644
2,16,0.0851778677073761,0.306928403595527
2,17,0.0894211373558537,0.550154817279057
2,18,0.0171421727043847,0.342096943429968
2,19,0.0544404252643599,0.466782248630923
2,20,0.00613851480894008,0.738805639385076
3,0,0.028109116839536,0.121483590307868
3,1,0.0763029495491133,-0.304107978125089
3,2,0.065687869863688,-0.135939117987576
3,3,0.139608965452689,-0.496219648840828
3,4,0.0115842849089755,-0.381756567223502
3,5,0.0721487359366307,2.45777155041761
3,6,0.0101290227772763,-0.294845235979154
3,7,0.144965147767544,0.00997492225250694
3,8,0.086754122355351,-0.253508323354358
3,9,0.0294653238504024,-0.196843439102447
3,10,0.0246082888212078,-0.253539678335471
3,11,0.00804164746967237,-0.134789091681966
3,12,0.00809434983043685,-0.414258791744549
3,13,0.0216184504972439,-0.435816735822349
3,14,0.0233502384039687,-0.0836099201387723
3,15,0.0150877856626472,0.380885176051883
3,16,0.0821264169520261,-0.0531519788368984
3,17,0.0800899163869878,-0.422621956968878
3,18,0.0161882604232697,-0.323678367530607
3,19,0.0503667503205715,-0.267640039702187
3,20,0.00567235572018648,-0.552298521060805
