"Cluster","PRS","Mean","D"
1,"AAM",0.00254328866513991,0.045539427331302
1,"AMD",0.00298123710558752,0.0171669010654663
1,"AD",0.0342938418339847,0.0177719439367067
1,"AST",-0.0584534214870632,-0.234382497614779
1,"AF",-0.0360801920255695,-0.136968826560767
1,"BD",0.0833092342610929,-0.0467487721387142
1,"BMI",-0.119667438143226,-0.380098589783516
1,"CRC",0.0428837694410201,0.0886535509889677
1,"BC",0.00533741697557256,-0.0143436673857877
1,"CVD",-0.149931923711273,-0.410858070898528
1,"CED",-0.0145701838272515,-0.0154377289604134
1,"CAD",-0.135385709086741,-0.373145657376289
1,"CD",0.00882287536564421,-0.0269157445429574
1,"EOC",-0.0111484806829794,-0.0369726278561892
1,"EBMDT",0.00531291656671434,0.0337814956842409
1,"HBA1C_DF",-0.03344151543419,-0.0958708462484252
1,"HEIGHT",0.0678863228568864,0.119598056697368
1,"HDL",0.0339204351637307,0.123516000887661
1,"HT",-0.181768867845191,-0.532042236034123
1,"IOP",0.00979637185045703,0.0101894553417656
1,"ISS",-0.154412586405488,-0.481870293335416
1,"LDL_SF",-0.0179250051353007,-0.0543961560368648
1,"MEL",0.014794481980283,0.0302500518388067
1,"MS",0.0119243381616379,0.0116216704759711
1,"OP",-0.0056401869157835,-0.0355620501878127
1,"PD",0.0226758894611296,0.044160177786139
1,"POAG",-0.00193834993253495,-0.0135962311230265
1,"PC",0.0314473843990486,0.0517357414412809
1,"PSO",-0.00398984893092165,-0.070813629296388
1,"RA",-0.0281031470564831,-0.111076607486091
1,"SCZ",0.0802825055834617,-0.0206751727438612
1,"SLE",-0.00322342075443033,-0.0114435160826491
1,"T1D",-0.0394578724263906,-0.0902060277898104
1,"T2D",-0.0831173688765199,-0.311207147606343
1,"UC",0.0233087344438162,0.0278437639181883
1,"VTE",-0.0174245071561334,-0.0753687569600988
2,"AAM",-0.0451155083703101,-0.0295668395258321
2,"AMD",-0.0230018033390471,-0.0200092546562677
2,"AD",0.10824587968413,0.092036895536958
2,"AST",0.0165901681510981,-0.0399814616018804
2,"AF",0.0623789113607124,0.038132371431846
2,"BD",0.0764635052827995,-0.0327781947362486
2,"BMI",0.0823276482050324,0.0264598480654349
2,"CRC",0.00663111028921058,0.0064225356488879
2,"BC",0.0405737234644263,0.0321467000246939
2,"CVD",0.0790154584414153,0.0424801963943092
2,"CED",-0.00570016928911756,0.00175251647584022
2,"CAD",0.077699880406911,0.0429227752913267
2,"CD",0.0189134221451706,-0.00293816060216842
2,"EOC",0.0109554873982464,0.00512156037847293
2,"EBMDT",0.0137530808336227,0.027709417713784
2,"HBA1C_DF",0.0381363801774316,0.0296978860476242
2,"HEIGHT",0.0528273974995997,0.046942627516582
2,"HDL",-0.0539775596917113,-0.0329995264933806
2,"HT",0.0655196274854243,0.0020848640630196
2,"IOP",-0.00812227296179309,-0.014767105781462
2,"ISS",0.109010806676868,0.0450746304964013
2,"LDL_SF",0.0135878659956696,0.00660728381544405
2,"MEL",0.0308364396119993,0.0343553491748567
2,"MS",0.0585256769788667,0.0591645989559947
2,"OP",0.00252065634164365,-0.00985946811776353
2,"PD",0.04525402551373,0.049337599109454
2,"POAG",0.00795268651927541,0.00398512745269396
2,"PC",0.024437285948689,0.0198663698281608
2,"PSO",0.0687994504977728,0.0431349879867736
2,"RA",0.0115589321033465,-0.0148575563260624
2,"SCZ",0.0890342656465746,-0.00128742589991829
2,"SLE",0.0342308223064505,0.0361770610575625
2,"T1D",0.00782012366385391,0.00501754588942974
2,"T2D",0.112630373942611,0.0561179185486525
2,"UC",0.0364915993206101,0.0298882032189708
2,"VTE",0.0302655664567861,0.013484115751989
3,"AAM",-0.0421906405834825,-0.0361753910541523
3,"AMD",-0.0114615526598986,-0.00968379849783376
3,"AD",-0.0135294285297377,-0.0603469880167535
3,"AST",0.224990572983091,0.272545370824928
3,"AF",0.112756070131702,0.131407523428458
3,"BD",0.147914172739894,0.0653319907019273
3,"BMI",0.312668273589203,0.400262716608723
3,"CRC",-0.0622852821013733,-0.0990061304111212
3,"BC",0.0129228144635034,0.00120717752078778
3,"CVD",0.309634564089063,0.426053029284611
3,"CED",0.00298071712977449,0.0159562987138451
3,"CAD",0.283636016949797,0.384983823988538
3,"CD",0.0408838249824772,0.0304952042647839
3,"EOC",0.0307029341201014,0.0378015375965603
3,"EBMDT",-0.0420303234009523,-0.0490006760140095
3,"HBA1C_DF",0.0699391787564988,0.0906628154190268
3,"HEIGHT",-0.0840830146502593,-0.150781984748765
3,"HDL",-0.101231060450331,-0.119137300196721
3,"HT",0.422747980466958,0.577551059293881
3,"IOP",0.0020874997063987,-0.00445811563805945
3,"ISS",0.383413117032672,0.501783606078895
3,"LDL_SF",0.043548852374999,0.0560291200524439
3,"MEL",-0.0305257184012509,-0.0481377471297657
3,"MS",-0.018498157717573,-0.039004633900744
3,"OP",0.0387881960122864,0.04296096916505
3,"PD",-0.0428998807409004,-0.0699223279279044
3,"POAG",0.0127055278906479,0.0129633009061083
3,"PC",-0.0349771902781328,-0.0649724691791195
3,"PSO",0.0675338908170395,0.0575067170854745
3,"RA",0.106459154816628,0.127115730789726
3,"SCZ",0.105062330739344,0.0229917995971085
3,"SLE",-0.000184495325639979,-0.00373533394111933
3,"T1D",0.0647154686179136,0.0955681069564462
3,"T2D",0.261017330792541,0.311815160214549
3,"UC",-0.0177626329525347,-0.0435330833774566
3,"VTE",0.0668920472730295,0.0756935255833768
